date,scan_time,ticker,mode,score,pct_from_open,rvol,entry_price,return_1h_pct,max_gain_1h_pct,stop_hit_1h,return_2h_pct,max_gain_2h_pct,stop_hit_2h,return_4h_pct,max_gain_4h_pct,stop_hit_4h,return_eod_pct,max_gain_session_pct,level_price,level_touches,level_type,dist_pct,atr,stop_loss,return_1d_pct,max_gain_1d_pct,stop_hit_1d,return_3d_pct,max_gain_3d_pct,stop_hit_3d,return_5d_pct,max_gain_5d_pct,stop_hit_5d
2026-05-26,14:30 BST,AMTX,SUPPORT_BOUNCE,5.67,,,2.68,,,,,,,,,,,,2.6275,4.0,support,2.0,0.29,2.3154,-6.34,-4.85,False,-4.85,-0.37,False,-3.73,1.83,False
2026-05-27,14:30 BST,AMTX,SUPPORT_BOUNCE,8.16,,,2.5,,,,,,,,,,,,2.4875,4.0,support,0.5,0.29,2.1672,5.2,6.0,False,5.6,9.16,False,-2.0,9.16,False
2026-05-29,14:30 BST,AMTX,RESISTANCE_WARNING,7.74,,,2.63,,,,,,,,,,,,2.65,4.0,resistance,0.75,0.23,2.4147,0.38,3.76,False,-6.84,3.76,True,,3.76,True
2026-04-17,14:30 BST,AMZN,RESISTANCE_WARNING,8.65,,,249.7,,,,,,,,,,,,250.22,4.0,resistance,0.21,7.17,241.77,-0.57,0.19,False,2.27,2.5,False,5.72,5.93,False
2026-04-23,14:30 BST,AMZN,RESISTANCE_WARNING,8.9,,,255.36,,,,,,,,,,,,255.515,4.0,resistance,0.06,6.95,245.2293,3.38,3.58,False,1.7,3.58,False,3.8,7.25,False
2026-04-24,14:30 BST,AMZN,RESISTANCE_WARNING,8.36,,,255.08,,,,,,,,,,,,256.06,4.0,resistance,0.38,6.84,248.2529,2.37,3.56,False,3.12,4.25,False,5.17,7.37,False
2026-04-28,14:30 BST,AMZN,SUPPORT_BOUNCE,8.0,,,261.12,,,,,,,,,,,,259.565,4.0,support,0.6,7.19,250.4971,0.74,1.83,False,2.73,4.89,False,4.76,6.68,False
2026-04-29,14:30 BST,AMZN,RESISTANCE_WARNING,7.17,,,259.7,,,,,,,,,,,,262.59,4.0,resistance,1.1,6.63,253.7071,2.06,5.46,False,4.76,6.31,False,5.89,7.26,False
2026-04-30,14:30 BST,AMZN,RESISTANCE_WARNING,8.19,,,263.04,,,,,,,,,,,,264.325,4.0,resistance,0.49,6.32,254.7071,1.98,3.91,False,4.0,5.9,False,3.09,5.9,False
2026-05-01,14:30 BST,AMZN,SUPPORT_BOUNCE,8.54,,,265.06,,,,,,,,,,,,264.325,4.0,support,0.28,7.1,253.9257,2.64,4.17,False,3.75,5.09,False,2.87,5.09,False
2026-05-04,14:30 BST,AMZN,SUPPORT_BOUNCE,6.52,,,268.26,,,,,,,,,,,,264.325,4.0,support,1.49,7.56,255.1836,1.97,3.84,False,1.08,3.84,False,0.27,3.84,False
2026-05-06,14:30 BST,AMZN,RESISTANCE_WARNING,8.97,,,273.55,,,,,,,,,,,,273.6,4.0,resistance,0.02,7.47,264.9079,-0.87,1.13,False,-1.67,1.13,False,-1.25,1.13,True
2026-05-07,14:30 BST,AMZN,RESISTANCE_WARNING,7.82,,,274.99,,,,,,,,,,,,276.95,4.0,resistance,0.71,7.46,266.4229,-0.84,-0.36,False,-3.33,-0.36,True,-2.83,-0.36,True
2026-05-08,14:30 BST,AMZN,RESISTANCE_WARNING,5.37,,,271.17,,,,,,,,,,,,277.215,4.0,resistance,2.18,7.43,268.6671,-0.8,0.91,True,-0.38,0.91,True,-2.59,0.91,True
