scan_time,ticker,price,pct_from_open,rvol,accelerating,level_price,level_touches,level_type,dist_pct,atr,mode,score,stop_loss,stop_reason,entry_note,reason,rsi_at_signal
2026-07-01 16:39 BST,TLSS,0.0002,,,,0.0002,95.0,resistance,0.0,0.0,RESISTANCE_WARNING,9.0,0.0001,Touches: 95 · Level low: $0.0002 · ATR(14): $0.0 · Stop: $0.0001,Near resistance $0.0002 · consider exit or avoid entry,95 touches at $0.0002 · 0.0% away · ATR $0.0,
2026-07-01 16:39 BST,TLNC,10.3,,,,10.3,30.0,resistance,0.0,0.03,RESISTANCE_WARNING,9.0,10.2507,Touches: 30 · Level low: $10.28 · ATR(14): $0.03 · Stop: $10.2507,Near resistance $10.3 · consider exit or avoid entry,30 touches at $10.3 · 0.0% away · ATR $0.03,
2026-07-01 16:39 BST,TLCC,0.0004,,,,0.0004,202.0,resistance,0.0,0.0,RESISTANCE_WARNING,9.0,0.0004,Touches: 202 · Level low: $0.0004 · ATR(14): $0.0 · Stop: $0.0004,Near resistance $0.0004 · consider exit or avoid entry,202 touches at $0.0004 · 0.0% away · ATR $0.0,
2026-07-01 16:39 BST,TKYMY,14.0,,,,14.0,64.0,resistance,0.0,0.0,RESISTANCE_WARNING,9.0,14.0,Touches: 64 · Level low: $14.0 · ATR(14): $0.0 · Stop: $14.0,Near resistance $14.0 · consider exit or avoid entry,64 touches at $14.0 · 0.0% away · ATR $0.0,
2026-07-01 16:39 BST,TKOI,0.0149,,,,0.0149,10.0,resistance,0.0,0.01,RESISTANCE_WARNING,9.0,0.0086,Touches: 10 · Level low: $0.0147 · ATR(14): $0.01 · Stop: $0.0086,Near resistance $0.0149 · consider exit or avoid entry,10 touches at $0.0149 · 0.0% away · ATR $0.01,
2026-07-01 16:39 BST,TKGSY,18.63,,,,18.63,9.0,resistance,0.0,1.46,RESISTANCE_WARNING,9.0,16.9236,Touches: 9 · Level low: $18.38 · ATR(14): $1.46 · Stop: $16.9236,Near resistance $18.63 · consider exit or avoid entry,9 touches at $18.63 · 0.0% away · ATR $1.46,
2026-07-01 16:39 BST,TKGBY,2.9,,,,2.9,17.0,resistance,0.0,0.12,RESISTANCE_WARNING,9.0,2.7414,Touches: 17 · Level low: $2.86 · ATR(14): $0.12 · Stop: $2.7414,Near resistance $2.9 · consider exit or avoid entry,17 touches at $2.9 · 0.0% away · ATR $0.12,
2026-07-01 16:39 BST,TKCBY,47.28,,,,47.28,30.0,resistance,0.0,0.0,RESISTANCE_WARNING,9.0,47.01,Touches: 30 · Level low: $47.01 · ATR(14): $0.0 · Stop: $47.01,Near resistance $47.28 · consider exit or avoid entry,30 touches at $47.28 · 0.0% away · ATR $0.0,
2026-07-01 16:39 BST,TK,9.93,,,,9.93,7.0,resistance,0.0,0.54,RESISTANCE_WARNING,9.0,9.2624,Touches: 7 · Level low: $9.8002 · ATR(14): $0.54 · Stop: $9.2624,Near resistance $9.93 · consider exit or avoid entry,7 touches at $9.93 · 0.0% away · ATR $0.54,
2026-07-01 16:39 BST,TGIFF,0.0045,,,,0.0045,5.0,resistance,0.0,0.0,RESISTANCE_WARNING,9.0,0.0035,Touches: 5 · Level low: $0.0045 · ATR(14): $0.0 · Stop: $0.0035,Near resistance $0.0045 · consider exit or avoid entry,5 touches at $0.0045 · 0.0% away · ATR $0.0,
